year,9/1,9/2,9/3,9/4,9/5,9/6,9/7,9/8,9/9,9/10,9/11,9/12,9/13,9/14,9/15,9/16,9/17,9/18,9/19,9/20,9/21,9/22,9/23,9/24,9/25,9/26,9/27,9/28,9/29,9/30,10/1,10/2,10/3,10/4,10/5,10/6,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30
1984-1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,5,5,5,6,9,12,14,13,12,12,12,12,10,9,6,0,9,8,13,15,15,24,27,28,28,28,26,25,19,18,20,20,19,17,18,20,18,25,25,25,26,30,29,26,16,15,15,19,18,18,18,19,19,19,21,21,21,21,21,22,21,28,28,26,29,30,38,38,42,44,48,48,52,54,54,55,54,54,54,51,51,51,51,48,48,60,60,60,60,58,60,60,60,64,64,66,66,67,67,64,62,53,48,46,48,48,48,48,48,49,52,61,62,62,63,60,60,59,62,75,79,84,82,83,83,83,84,83,83,82,82,82,82,82,80,73,71,71,81,86,89,92,94,90,89,89,90,90,90,90,89,89,83,75,75,72,72,72,70,66,63,59,58,56,54,54,53,50,49,46,46,45,45,44,42,44,41,41,34,30,23,20,18,15,13,11,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985-1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,3,2,2,2,2,6,6,6,6,6,9,7,7,7,9,11,11,11,11,16,16,22,21,24,25,26,24,25,24,24,28,28,31,30,30,34,31,33,33,34,33,36,35,37,43,44,43,38,40,40,40,40,38,36,36,36,36,35,30,30,30,30,30,32,45,42,44,45,44,52,51,55,53,53,57,57,58,58,57,56,56,55,57,57,58,58,58,58,55,55,64,64,66,63,72,74,71,70,69,68,68,69,69,69,70,76,76,81,82,77,76,78,76,70,71,71,71,70,66,66,66,66,66,66,63,60,60,58,55,53,51,50,49,49,49,49,49,49,53,54,60,64,64,62,60,58,54,53,51,50,47,47,47,47,44,40,37,34,31,29,23,23,23,23,23,21,18,13,12,11,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,5,0,0,0,0,4,5,8,8,5,5,5,5,5,5,13,13,13,13,12,12,11,11,11,11,12,12,11,13,13,14,16,22,24,24,24,25,26,24,25,26,26,28,28,30,31,31,31,31,31,30,30,30,30,30,30,30,31,36,36,36,35,38,44,45,46,52,57,64,66,62,62,60,61,63,63,64,61,77,73,73,72,69,70,70,70,71,73,74,75,75,78,79,81,81,85,87,87,87,90,88,89,88,87,86,83,83,83,83,82,82,82,82,81,80,81,83,85,88,88,86,83,83,82,81,81,81,79,79,79,78,82,91,89,88,87,86,86,84,82,81,79,79,77,76,76,71,66,66,67,64,63,61,63,66,65,64,61,60,57,57,57,54,54,50,47,44,40,37,34,33,32,31,30,30,33,44,43,43,42,38,37,34,31,30,29,26,22,20,18,13,12,10,8,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,1,0,1,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,11,9,9,7,5,5,5,4,4,4,3,3,1,0,3,5,5,5,4,5,7,5,5,5,5,5,6,7,8,11,11,11,11,10,9,7,7,9,11,15,21,23,23,23,26,26,25,26,26,24,24,25,27,27,27,28,27,27,27,29,30,30,30,31,35,36,34,34,34,33,33,33,32,32,34,34,35,35,34,35,35,43,43,42,44,44,39,35,33,32,41,41,42,43,44,43,43,43,50,65,65,62,60,60,60,58,59,59,59,61,62,60,60,60,60,60,59,59,58,59,59,59,59,59,59,59,61,60,62,62,63,69,70,71,71,76,77,77,77,71,70,64,66,68,68,64,54,63,63,61,57,56,54,52,50,49,49,48,48,48,47,49,50,62,59,59,62,63,65,63,63,68,65,65,63,64,61,61,59,59,59,56,54,50,48,44,42,40,36,35,28,27,24,21,19,15,11,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,10,10,6,2,1,0,0,0,0,4,5,4,3,4,4,4,4,5,4,4,12,22,22,13,5,4,8,9,9,9,9,12,12,12,12,8,10,10,10,17,18,18,18,18,17,13,12,13,13,15,17,17,24,26,24,23,22,24,25,24,24,23,25,30,31,31,30,29,28,25,25,25,26,29,34,35,39,39,40,43,41,41,44,44,43,43,43,41,41,41,41,41,46,46,44,46,47,49,52,57,63,61,61,58,57,61,63,64,62,62,62,60,61,61,61,60,63,63,63,64,63,66,69,69,69,70,71,70,70,69,69,68,67,67,67,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,68,67,65,65,66,68,68,68,73,73,73,72,72,73,72,66,58,61,59,62,62,62,62,58,58,66,66,67,72,72,71,70,74,70,70,69,65,64,66,64,65,70,71,71,71,70,70,68,65,63,60,60,60,59,55,52,52,52,52,49,48,44,42,38,33,31,23,20,15,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,4,4,0,0,0,0,0,1,4,17,20,20,18,18,18,18,18,20,23,27,28,30,30,30,30,33,33,32,32,32,32,32,31,31,37,37,37,37,37,38,39,39,39,39,47,46,46,45,43,43,42,42,42,40,40,42,42,41,41,41,42,47,51,51,52,49,49,38,40,39,41,42,45,45,45,47,46,46,47,57,56,55,55,55,61,60,60,60,60,58,57,56,55,56,55,63,63,63,62,62,63,63,62,57,58,57,57,58,60,60,61,61,61,61,61,60,60,60,60,57,57,57,55,51,48,39,32,30,30,42,50,48,48,48,46,49,49,48,48,48,48,46,45,44,40,48,52,52,52,51,51,51,53,52,52,51,49,48,50,48,48,47,44,42,41,39,33,27,20,17,14,10,9,7,5,9,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,3,4,12,27,36,40,45,39,26,20,20,20,20,20,18,17,19,18,18,18,12,9,9,9,9,10,17,27,26,26,23,23,23,23,22,21,23,24,25,25,24,27,27,25,21,18,18,18,18,19,18,18,13,14,14,15,17,18,18,20,21,21,21,22,22,29,31,31,32,31,33,39,39,39,38,38,38,41,42,40,40,39,39,42,50,52,48,46,43,42,42,41,40,40,40,42,43,44,47,49,49,52,49,49,48,46,48,47,49,52,50,54,52,51,50,48,48,44,43,42,44,46,44,44,45,46,46,46,46,46,46,46,48,48,48,50,50,52,53,53,53,50,50,50,49,49,53,52,51,49,45,36,30,24,24,24,20,20,20,20,20,20,19,18,18,18,18,18,17,16,14,14,14,14,12,10,10,13,13,12,10,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,2,2,1,0,0,0,0,0,4,9,7,6,5,4,1,1,6,7,8,10,12,12,9,9,8,8,7,6,12,12,11,12,12,12,16,19,19,19,19,18,20,20,18,18,17,16,16,16,16,15,19,19,22,22,24,25,25,24,22,25,25,27,34,32,34,33,34,33,33,32,32,32,33,33,33,33,34,34,34,36,45,45,44,44,49,48,49,50,47,48,48,51,51,50,47,48,53,52,52,52,52,52,57,60,62,65,65,65,63,63,61,60,57,54,53,50,56,58,56,56,54,57,60,59,59,59,59,60,60,59,59,56,59,69,69,69,70,71,75,73,74,74,74,72,72,72,76,76,76,76,76,75,82,80,78,77,68,60,59,59,58,57,57,55,54,53,51,50,47,49,48,48,47,46,40,36,34,28,26,18,17,15,12,6,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,2,0,2,2,2,1,1,1,1,1,1,2,2,2,6,9,9,9,9,5,5,4,5,5,0,6,6,6,6,5,3,1,1,2,1,1,1,1,1,1,1,2,4,8,9,13,15,15,13,12,12,12,11,11,10,12,14,14,16,17,17,18,21,20,20,20,20,19,18,18,19,19,19,19,16,16,16,18,18,18,18,18,21,24,26,26,26,26,27,28,28,28,30,30,33,32,33,35,37,38,45,47,47,45,47,52,53,53,52,52,51,51,50,54,54,55,56,60,60,59,59,57,64,66,69,69,66,66,66,64,62,62,62,62,60,62,62,62,62,63,70,70,70,88,88,88,91,91,90,90,93,92,88,89,87,84,78,76,67,65,64,66,68,69,70,70,69,68,67,64,62,60,59,58,58,57,56,53,54,53,53,50,49,54,54,53,48,48,47,43,42,42,41,40,37,33,31,28,25,23,19,13,9,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,12,10,12,10,10,10,8,7,7,6,6,6,6,4,4,2,1,1,1,3,3,3,1,1,1,1,0,0,3,2,2,3,4,7,7,10,10,9,9,10,16,16,12,9,9,9,9,9,9,13,21,23,22,21,24,23,23,23,31,29,29,29,29,32,34,33,33,45,44,44,44,39,40,40,42,42,44,49,49,48,48,58,57,58,58,57,57,56,56,53,53,53,51,53,53,52,52,53,53,54,54,54,54,56,66,65,69,66,64,63,59,54,54,55,63,63,63,63,63,63,64,64,71,81,81,81,81,80,79,81,80,79,86,86,86,88,90,92,93,98,96,100,95,93,93,93,94,94,94,92,92,91,91,92,92,93,90,92,92,92,89,89,88,87,84,80,76,75,75,74,72,75,76,76,73,72,68,63,60,60,59,58,57,57,57,54,53,52,50,49,46,45,42,42,41,40,40,39,35,32,29,26,17,16,15,12,9,9,7,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,2,10,10,8,9,10,9,9,8,8,6,5,5,8,8,8,11,11,11,12,12,12,12,13,17,17,14,14,14,14,14,13,13,13,20,20,20,20,22,28,32,33,31,34,34,35,35,35,34,26,23,18,14,13,13,12,11,14,16,20,20,19,19,22,23,23,23,23,24,26,25,32,41,40,40,38,40,42,44,44,44,45,42,42,40,40,40,39,38,38,37,40,40,40,44,47,47,47,47,46,46,46,46,46,40,48,47,47,47,47,42,37,35,35,35,35,34,33,35,39,39,39,38,38,38,38,38,41,41,41,41,42,41,41,42,42,42,42,42,41,41,41,42,51,51,48,48,45,45,41,41,41,41,41,41,40,39,41,39,39,37,35,33,32,32,32,31,29,28,25,23,22,19,18,16,15,12,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,4,0,0,0,0,0,5,0,8,4,4,5,6,7,6,8,7,10,10,9,10,11,11,11,11,10,10,10,9,13,26,27,27,27,29,30,32,32,35,35,34,35,36,39,39,41,41,40,42,51,53,49,49,50,56,58,58,60,61,61,59,59,59,59,59,58,58,58,58,59,59,59,60,60,61,60,59,57,46,46,46,46,47,47,49,49,49,56,56,56,56,58,56,56,56,55,59,59,59,61,66,66,68,70,69,70,69,69,79,79,73,68,65,63,63,78,76,76,76,83,81,81,82,82,85,83,85,90,92,90,90,87,87,85,85,87,90,87,87,87,88,90,94,96,94,92,92,92,90,90,90,88,89,89,89,88,88,90,94,99,106,119,118,117,118,118,118,133,135,130,127,113,100,96,96,96,93,93,91,91,90,86,85,85,83,80,79,78,76,74,72,71,71,77,73,72,71,67,64,55,49,41,39,38,31,29,26,24,22,22,18,14,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,8,8,5,4,2,0,0,0,0,8,5,5,5,4,3,7,10,11,11,11,13,12,21,21,20,17,15,15,15,14,13,13,14,14,23,24,25,25,24,23,23,23,23,22,21,18,27,25,24,24,23,25,25,26,26,24,26,27,27,26,27,27,27,27,31,28,28,41,41,49,57,58,58,55,52,52,50,51,54,54,51,50,52,52,52,59,60,60,58,58,58,58,58,62,63,62,62,62,60,61,62,68,68,65,66,65,64,63,63,62,52,53,56,57,57,55,54,54,54,53,51,52,53,66,69,70,69,72,73,77,76,77,76,76,77,79,79,79,75,77,77,77,77,80,81,80,76,71,73,82,82,80,80,79,76,72,74,76,76,76,76,74,78,78,77,76,83,82,82,80,78,76,75,73,73,72,75,75,74,69,70,70,70,70,70,77,77,78,78,77,76,73,71,69,69,69,68,67,66,66,72,70,69,66,65,64,62,58,56,54,47,46,39,35,33,27,24,20,14,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,9,9,10,16,15,14,13,9,3,0,0,9,5,4,4,3,3,2,2,3,6,8,11,13,12,12,13,13,15,14,18,21,20,27,28,27,25,27,31,30,30,33,41,45,46,45,45,44,44,44,46,49,48,47,45,45,43,44,42,46,48,48,51,54,52,52,59,64,63,66,63,57,55,50,44,42,42,42,45,46,46,48,49,58,57,56,58,56,60,60,63,65,64,64,63,63,63,64,64,64,64,64,64,64,64,64,63,62,61,60,60,68,65,65,65,65,66,66,67,71,71,72,73,77,86,85,85,85,85,84,84,85,85,86,86,86,85,83,86,88,88,96,102,99,98,98,100,100,95,108,110,113,113,112,98,87,83,78,69,61,61,63,64,65,65,65,63,62,62,62,62,60,59,58,55,53,51,50,53,52,52,51,51,51,49,49,49,48,45,45,39,38,33,33,32,30,25,20,18,12,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,9,10,10,10,10,10,10,10,10,8,8,8,8,9,9,12,12,11,10,12,12,12,14,13,18,21,21,21,20,18,18,17,12,11,11,10,11,10,10,14,14,14,14,13,13,17,19,21,21,20,20,20,19,20,19,19,19,19,24,24,26,26,27,29,31,31,31,31,42,43,43,43,45,45,45,46,46,45,46,46,46,46,46,40,39,41,42,44,46,46,46,46,46,46,46,47,49,49,48,48,51,51,44,54,56,54,54,53,54,54,54,56,56,56,56,54,53,52,53,54,55,61,61,58,61,63,78,84,84,83,84,89,84,84,84,85,84,81,89,89,88,88,90,91,92,90,89,87,85,86,85,83,78,75,73,73,72,71,70,70,70,70,70,70,69,69,69,70,70,69,68,68,67,67,67,66,64,62,62,62,62,60,58,57,51,47,42,36,34,28,28,24,24,24,22,21,15,12,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,8,14,14,13,12,11,11,11,9,6,4,1,4,2,0,3,2,1,0,0,0,2,2,10,28,30,30,30,26,24,15,11,7,4,4,2,2,8,6,7,7,5,4,2,1,1,1,1,1,18,19,18,14,14,17,16,16,16,15,14,14,18,18,18,18,19,19,22,28,28,28,27,19,20,22,22,23,25,26,26,31,31,31,31,32,36,37,38,36,36,36,36,36,36,37,43,50,57,58,57,60,63,66,66,62,63,63,70,68,67,66,67,68,66,72,73,77,78,77,80,78,78,76,73,70,67,66,63,64,66,61,63,68,70,75,75,75,72,69,65,66,67,68,70,69,71,73,73,75,75,75,74,74,73,73,72,71,71,72,78,82,80,79,78,71,72,76,75,78,81,92,92,93,92,90,85,75,75,73,73,72,72,74,74,85,84,84,85,84,82,82,80,78,78,73,65,62,54,48,48,36,33,29,27,25,23,18,17,16,16,16,12,6,5,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,11,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,5,4,2,9,9,6,5,0,0,0,0,0,0,5,5,6,7,6,6,9,16,19,16,15,11,12,12,12,14,20,25,24,23,21,22,25,23,22,21,24,28,26,30,31,30,30,31,32,39,39,39,41,42,48,47,45,45,44,44,54,58,55,54,57,58,57,54,52,53,59,60,59,59,56,56,58,62,62,63,63,63,64,63,63,64,62,62,63,63,62,66,68,68,73,72,72,79,81,83,80,72,72,72,72,72,72,78,84,83,82,80,82,82,85,86,85,84,84,86,86,87,86,85,84,89,98,96,95,95,103,104,106,108,110,112,109,109,108,108,108,109,114,120,128,126,124,124,132,132,130,131,129,127,126,125,123,125,122,123,120,120,117,116,111,110,108,107,107,107,107,107,106,96,94,92,81,80,78,76,75,74,70,64,59,55,53,50,48,46,44,42,36,33,30,26,24,22,20,18,18,18,13,9,6,4,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,2,0,0,0,0,0,0,6,6,7,12,16,16,13,9,3,3,3,2,2,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,5,5,8,7,0,11,13,13,16,17,17,17,17,16,18,21,25,26,28,30,30,30,30,31,27,25,27,29,32,33,35,35,40,40,45,45,43,45,45,45,45,47,48,48,46,46,45,48,50,52,49,51,51,52,54,53,53,53,54,54,55,58,57,59,61,59,59,58,54,57,58,58,56,56,59,65,64,64,64,60,61,62,64,65,63,61,58,58,59,59,59,58,58,57,59,62,65,69,69,72,74,71,71,77,77,76,75,73,76,75,74,76,76,75,75,75,71,68,68,67,62,58,54,46,40,35,28,26,24,24,30,27,27,30,30,33,36,33,38,41,43,40,36,34,28,27,27,23,22,22,22,28,35,32,27,30,28,28,29,27,25,23,22,20,15,11,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,4,4,4,4,4,7,12,11,11,10,13,16,15,13,11,5,3,3,3,3,3,0,15,15,15,13,12,24,24,23,23,24,26,33,34,37,39,40,38,39,38,37,42,41,37,36,37,35,35,38,38,38,38,36,33,34,34,34,42,42,42,46,46,46,46,45,44,44,44,59,58,57,57,60,62,61,63,64,65,66,64,66,65,65,64,65,65,65,65,66,66,69,70,70,70,70,69,69,71,72,74,76,76,76,76,77,78,78,80,81,80,80,78,78,79,76,76,76,75,76,78,78,78,78,78,78,78,79,81,81,85,86,85,85,90,88,89,89,90,89,89,89,81,79,78,78,76,74,75,74,73,71,71,70,68,70,74,72,71,72,72,78,77,76,78,78,77,77,75,74,73,73,64,64,64,63,59,57,54,57,66,65,63,58,54,53,53,51,48,48,46,46,42,40,38,37,36,33,31,22,27,26,24,22,22,18,15,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,26,25,24,21,16,13,12,11,11,11,9,11,11,10,10,10,12,15,18,21,25,22,27,42,36,33,30,26,26,27,27,46,44,41,57,56,56,55,52,50,45,40,57,56,56,51,52,51,53,54,53,53,52,53,54,55,55,55,58,60,62,62,62,60,61,60,63,62,64,65,66,66,66,66,66,67,69,69,70,70,67,67,72,74,75,76,77,76,78,81,82,80,82,82,82,82,81,81,80,82,85,84,84,84,90,90,90,90,90,88,88,88,87,84,84,87,89,87,87,87,93,93,93,93,93,93,93,94,100,99,99,100,99,91,85,85,83,82,81,79,79,79,80,98,92,91,90,89,89,89,87,88,84,84,83,82,78,73,70,68,65,63,63,63,62,61,61,59,54,48,40,36,42,39,37,33,33,32,32,24,21,16,10,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
