date,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10/6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10/14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,7,1,3,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10/15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,10,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
10/16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0
10/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,11,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,2
10/18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,8,0,0,0,0,3
10/19,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,3
10/20,0,0,0,0,0,2,0,0,0,0,1,0,6,3,0,0,0,0,0,0,1,0,1,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,6,0,0,0,0,0
10/21,0,0,0,0,0,3,0,0,0,0,3,0,5,2,0,0,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
10/22,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,6,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,1,0,7,0,0,0,0,0
10/23,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,10,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,5,0,0,0,2,1,0,0,0,3,1,8,0,0,0,0,0,5,4,0,1,0,7,0,0,0,0,0
10/24,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,14,0,0,0,2,0,3,6,0,0,0,7,0,0,3,0,0
10/25,0,1,0,0,0,0,16,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,9,0,14,0,0,0,2,0,1,17,0,0,0,5,0,0,0,0,0
10/26,0,0,0,0,0,0,14,0,6,0,1,0,0,0,1,5,0,0,0,0,0,0,3,0,0,2,3,2,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,9,0,13,0,0,5,1,0,21,19,0,0,0,4,0,0,8,0,0
10/27,0,0,0,0,4,0,11,0,8,0,0,1,0,0,1,4,0,0,0,0,0,0,6,0,1,3,5,0,0,5,0,0,0,0,4,0,0,0,2,0,0,0,0,10,0,12,0,4,4,0,0,20,18,0,0,0,0,0,0,8,0,0
10/28,0,0,0,0,3,1,8,0,5,0,0,4,0,0,1,3,0,0,0,0,0,0,5,0,0,3,9,0,0,5,0,0,0,0,4,0,0,0,1,0,0,0,0,16,0,11,0,4,4,0,0,18,13,0,0,0,0,0,0,8,0,0
10/29,0,0,0,0,6,0,6,0,5,0,0,5,0,0,1,3,0,0,0,0,0,0,5,0,0,3,8,0,0,4,0,0,0,0,4,0,3,0,1,0,0,1,0,15,1,11,7,4,4,0,0,18,21,0,11,0,0,0,0,8,0,0
10/30,0,0,0,0,5,0,5,0,5,0,0,5,2,0,3,3,0,0,0,0,0,0,5,0,0,3,8,0,0,4,0,0,0,0,5,0,3,0,1,0,0,4,0,14,1,11,7,4,4,0,0,14,24,0,12,0,3,2,0,7,0,0
10/31,0,0,0,0,4,0,0,0,4,0,0,3,2,0,4,3,0,0,0,0,0,0,3,0,0,0,8,0,0,4,0,0,0,2,4,0,0,0,1,0,0,4,0,13,2,9,0,4,4,0,0,11,21,0,12,0,7,1,0,6,0,0
11/1,0,0,0,0,4,2,3,4,5,4,0,5,0,0,2,3,0,0,0,0,0,0,11,0,0,2,10,0,0,0,0,0,0,2,4,0,3,0,1,11,0,6,2,9,2,6,5,2,7,0,1,9,18,0,12,0,10,1,0,0,0,0
11/2,0,0,0,0,3,5,0,0,0,5,0,7,0,0,2,2,0,0,0,0,0,0,10,0,0,2,14,0,0,0,0,0,2,2,12,0,0,0,1,12,5,4,6,3,9,4,5,0,12,0,1,6,18,0,11,0,7,1,0,0,3,0
11/3,0,0,0,0,3,5,3,0,6,11,0,6,0,0,0,0,0,0,0,4,0,0,9,0,0,1,12,0,0,1,0,0,1,0,22,0,0,0,2,10,5,0,10,0,10,1,4,0,11,0,1,4,18,0,10,0,7,0,2,0,2,0
11/4,0,0,0,0,2,4,4,0,7,10,0,2,0,0,0,0,0,1,5,3,0,0,6,0,0,1,11,0,0,1,0,0,2,0,22,1,0,0,2,12,1,0,8,0,10,4,2,0,11,0,1,3,18,0,5,0,8,2,7,0,0,0
11/5,0,0,0,0,0,0,5,0,7,9,0,2,0,3,0,1,0,1,6,4,0,0,12,0,0,0,8,0,0,2,0,0,2,0,13,4,0,0,2,10,0,0,8,9,10,2,9,0,10,0,3,0,18,0,4,0,7,2,10,0,0,0
11/6,0,0,0,0,0,0,7,0,8,7,0,1,2,3,0,0,15,1,6,4,0,0,18,0,0,0,8,0,0,2,0,0,5,11,5,2,0,0,6,10,0,0,5,5,10,0,9,0,13,0,5,0,17,6,1,1,8,0,10,0,0,0
11/7,0,0,0,0,2,0,8,1,8,4,0,1,2,1,2,0,13,4,5,5,0,0,18,0,0,0,8,5,1,2,1,0,0,9,4,0,3,0,9,10,3,0,4,4,10,3,6,0,16,0,5,0,17,7,0,1,8,0,10,0,5,0
11/8,0,0,0,0,2,0,5,1,7,0,0,1,0,1,14,0,11,9,4,6,0,0,23,0,0,0,8,4,0,1,1,0,0,9,8,0,3,0,9,8,1,5,2,4,10,2,5,6,15,2,5,0,16,7,0,0,7,0,10,3,5,0
11/9,0,5,1,0,2,0,5,4,6,0,0,1,0,2,12,0,9,7,5,8,0,0,21,0,0,0,12,2,0,1,0,1,0,7,9,0,4,0,9,7,0,0,0,3,10,1,0,6,13,1,9,0,12,7,0,0,5,0,9,3,5,0
11/10,0,5,6,0,2,0,5,6,5,0,2,1,0,2,12,0,0,5,4,13,0,0,22,0,0,0,14,2,0,0,0,1,0,5,9,0,12,1,9,7,0,8,0,3,10,0,0,7,11,1,8,0,10,7,7,0,0,0,9,4,5,0
11/11,0,5,7,0,2,0,5,6,9,0,0,0,0,2,12,0,0,8,4,14,0,0,22,0,0,0,20,3,0,0,0,0,4,5,9,0,27,1,5,6,1,4,0,2,8,0,0,12,5,1,6,4,10,7,9,0,5,2,5,14,4,0
